Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 27, 2011;12,293.47;12,328.47;12,140.17;12,217.56;12,217.56;2,850,700
Dec 20, 2011;11,769.21;12,297.44;11,768.83;12,294.00;12,294.00;5,604,600
Dec 13, 2011;12,018.66;12,147.70;11,735.19;11,766.26;11,766.26;9,947,700
Dec 06, 2011;12,097.75;12,257.67;11,940.86;12,021.39;12,021.39;7,835,400
Nov 29, 2011;11,523.01;12,186.53;11,517.04;12,097.83;12,097.83;8,913,800
Nov 22, 2011;11,542.39;11,571.75;11,231.43;11,523.01;11,523.01;5,932,200
Nov 15, 2011;12,077.92;12,165.11;11,454.07;11,547.31;11,547.31;7,027,600
Nov 08, 2011;12,055.52;12,187.51;11,736.93;12,078.98;12,078.98;7,445,300
Nov 01, 2011;11,951.53;12,074.44;11,630.03;12,068.39;12,068.39;7,788,600
Oct 25, 2011;11,912.63;12,284.31;11,682.52;11,955.01;11,955.01;9,462,300
Oct 18, 2011;11,396.17;11,940.75;11,296.12;11,913.62;11,913.62;9,629,600
Oct 11, 2011;11,432.80;11,646.83;11,365.67;11,397.00;11,397.00;7,394,100
Oct 04, 2011;10,651.44;11,433.33;10,404.49;11,433.18;11,433.18;10,162,600
Sep 27, 2011;11,045.23;11,369.30;10,653.34;10,655.30;10,655.30;10,325,200
Sep 20, 2011;11,401.47;11,550.22;10,597.14;11,043.86;11,043.86;11,338,500
Sep 13, 2011;11,054.99;11,532.47;10,987.18;11,401.01;11,401.01;11,381,400
Sep 06, 2011;11,237.31;11,477.30;10,824.76;11,061.12;11,061.12;9,821,100
Aug 30, 2011;11,532.13;11,716.84;11,211.35;11,240.26;11,240.26;7,646,000
Aug 23, 2011;10,854.58;11,541.78;10,854.43;11,539.25;11,539.25;11,485,100
Aug 16, 2011;11,480.48;11,529.67;10,801.41;10,854.65;10,854.65;12,306,900
Aug 09, 2011;10,810.91;11,484.60;10,604.07;11,482.90;11,482.90;16,370,500
Aug 02, 2011;12,129.77;12,130.30;10,809.85;10,809.85;10,809.85;15,923,300
Jul 26, 2011;12,592.12;12,593.40;11,998.08;12,132.49;12,132.49;8,903,500
Jul 19, 2011;12,386.03;12,751.43;12,385.96;12,592.80;12,592.80;7,618,200
Jul 12, 2011;12,505.54;12,611.04;12,296.23;12,385.16;12,385.16;8,077,900
Jul 05, 2011;12,569.87;12,753.89;12,470.30;12,505.76;12,505.76;6,734,700
Jun 28, 2011;12,043.56;12,596.13;12,042.28;12,582.77;12,582.77;6,156,200
Jun 21, 2011;12,081.33;12,217.33;11,874.94;12,043.56;12,043.56;9,372,400
Jun 14, 2011;11,951.38;12,120.80;11,862.53;12,080.38;12,080.38;10,008,800
Jun 07, 2011;12,090.18;12,183.12;11,917.78;11,952.97;11,952.97;8,008,600
