Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 27, 2011;2,613.51;2,633.34;2,586.85;2,605.15;2,605.15;4,083,690,000
Dec 20, 2011;2,567.25;2,618.84;2,544.66;2,618.64;2,618.64;6,165,980,000
Dec 13, 2011;2,629.67;2,639.74;2,518.01;2,523.14;2,523.14;9,519,480,000
Dec 06, 2011;2,655.02;2,663.63;2,591.42;2,612.26;2,612.26;8,232,090,000
Nov 29, 2011;2,529.11;2,674.53;2,508.27;2,655.76;2,655.76;9,240,760,000
Nov 22, 2011;2,517.64;2,534.40;2,441.48;2,527.34;2,527.34;5,817,640,000
Nov 15, 2011;2,647.91;2,695.87;2,500.89;2,523.14;2,523.14;9,658,190,000
Nov 08, 2011;2,712.08;2,730.39;2,601.79;2,657.22;2,657.22;8,891,170,000
Nov 01, 2011;2,607.31;2,699.84;2,597.16;2,695.25;2,695.25;9,965,700,000
Oct 25, 2011;2,685.86;2,753.37;2,598.74;2,684.41;2,684.41;10,318,190,000
Oct 18, 2011;2,614.05;2,703.07;2,557.17;2,699.44;2,699.44;9,856,450,000
Oct 11, 2011;2,554.70;2,667.85;2,551.94;2,614.92;2,614.92;8,643,370,000
Oct 04, 2011;2,312.68;2,566.05;2,298.89;2,566.05;2,566.05;11,422,130,000
Sep 27, 2011;2,560.78;2,590.94;2,335.23;2,335.83;2,335.83;10,904,360,000
Sep 20, 2011;2,623.89;2,643.37;2,420.23;2,516.69;2,516.69;10,964,260,000
Sep 13, 2011;2,502.59;2,627.34;2,494.07;2,612.83;2,612.83;10,818,390,000
Sep 06, 2011;2,417.61;2,568.45;2,414.31;2,495.09;2,495.09;9,543,180,000
Aug 30, 2011;2,547.07;2,611.58;2,469.35;2,480.33;2,480.33;7,181,260,000
Aug 23, 2011;2,360.95;2,562.58;2,349.08;2,562.11;2,562.11;9,292,780,000
Aug 16, 2011;2,526.48;2,549.11;2,337.28;2,345.38;2,345.38;11,105,800,000
Aug 09, 2011;2,402.13;2,555.20;2,331.65;2,555.20;2,555.20;14,512,520,000
Aug 02, 2011;2,728.29;2,745.87;2,357.69;2,357.69;2,357.69;15,989,690,000
Jul 26, 2011;2,842.74;2,851.72;2,716.30;2,744.61;2,744.61;10,685,470,000
Jul 19, 2011;2,790.98;2,862.72;2,790.98;2,842.80;2,842.80;9,309,040,000
Jul 12, 2011;2,798.75;2,825.86;2,743.79;2,765.11;2,765.11;9,404,020,000
Jul 05, 2011;2,817.87;2,878.94;2,795.54;2,802.62;2,802.62;8,447,860,000
Jun 28, 2011;2,694.26;2,818.19;2,692.45;2,816.03;2,816.03;6,992,590,000
Jun 21, 2011;2,640.33;2,697.34;2,627.47;2,688.28;2,688.28;10,113,920,000
