Date;Open;High;Low;Close*;Adj Close**;Volume
Dec 27, 2011;1,265.02;1,269.37;1,248.64;1,257.60;1,257.60;9,030,550,000
Dec 20, 2011;1,205.72;1,265.42;1,205.72;1,265.33;1,265.33;12,740,690,000
Dec 13, 2011;1,236.83;1,249.86;1,202.37;1,205.35;1,205.35;21,235,820,000
Dec 06, 2011;1,257.19;1,267.06;1,227.25;1,236.47;1,236.47;19,624,320,000
Nov 29, 2011;1,192.56;1,266.73;1,191.80;1,257.08;1,257.08;21,905,610,000
Nov 22, 2011;1,192.98;1,197.35;1,158.66;1,192.55;1,192.55;13,295,600,000
Nov 15, 2011;1,251.70;1,264.25;1,183.16;1,192.98;1,192.98;20,158,440,000
Nov 08, 2011;1,261.12;1,277.55;1,226.64;1,251.78;1,251.78;19,160,850,000
Nov 01, 2011;1,251.00;1,263.21;1,215.42;1,261.12;1,261.12;21,865,600,000
Oct 25, 2011;1,254.19;1,292.66;1,221.06;1,253.30;1,253.30;24,562,010,000
Oct 18, 2011;1,200.75;1,256.55;1,191.48;1,254.19;1,254.19;23,847,000,000
Oct 11, 2011;1,194.60;1,224.61;1,187.30;1,200.86;1,200.86;22,633,520,000
Oct 04, 2011;1,097.42;1,194.91;1,074.77;1,194.89;1,194.89;21,350,800,000
Sep 27, 2011;1,163.32;1,195.86;1,098.92;1,099.23;1,099.23;25,708,920,000
Sep 20, 2011;1,204.50;1,220.39;1,114.22;1,162.95;1,162.95;26,150,060,000
Sep 13, 2011;1,162.59;1,220.06;1,157.44;1,204.09;1,204.09;23,650,920,000
Sep 06, 2011;1,173.97;1,204.40;1,136.07;1,162.27;1,162.27;23,765,110,000
Aug 30, 2011;1,209.76;1,230.71;1,170.56;1,173.97;1,173.97;19,022,560,000
Aug 23, 2011;1,124.36;1,210.28;1,124.36;1,210.08;1,210.08;25,340,290,000
Aug 16, 2011;1,204.22;1,208.47;1,121.09;1,123.82;1,123.82;23,298,570,000
Aug 09, 2011;1,120.23;1,204.49;1,101.54;1,204.49;1,204.49;20,983,010,000
Aug 02, 2011;1,286.56;1,286.56;1,119.28;1,119.46;1,119.46;23,989,500,000
Jul 26, 2011;1,337.39;1,338.51;1,274.73;1,286.94;1,286.94;22,466,470,000
Jul 19, 2011;1,307.07;1,347.00;1,307.07;1,337.43;1,337.43;19,969,170,000
Jul 12, 2011;1,319.61;1,331.48;1,295.92;1,305.44;1,305.44;21,007,460,000
Jul 05, 2011;1,339.59;1,356.48;1,316.42;1,319.49;1,319.49;18,829,530,000
Jun 28, 2011;1,280.21;1,341.01;1,280.21;1,339.67;1,339.67;16,026,470,000
Jun 21, 2011;1,278.40;1,298.61;1,262.87;1,280.10;1,280.10;19,902,430,000
Jun 14, 2011;1,272.22;1,292.50;1,258.07;1,278.36;1,278.36;19,798,150,000
Jun 07, 2011;1,286.31;1,296.22;1,265.64;1,271.83;1,271.83;19,128,340,000
May 31, 2011;1,331.10;1,345.20;1,284.72;1,286.17;1,286.17;19,760,510,000
May 24, 2011;1,317.70;1,334.62;1,311.80;1,331.10;1,331.10;14,339,950,000
May 17, 2011;1,326.10;1,346.82;1,312.88;1,317.37;1,317.37;18,923,710,000
May 10, 2011;1,348.34;1,359.44;1,327.32;1,329.47;1,329.47;19,120,110,000
May 03, 2011;1,359.76;1,360.84;1,329.17;1,346.29;1,346.29;20,782,720,000
Apr 26, 2011;1,336.75;1,370.58;1,336.75;1,361.22;1,361.22;19,321,770,000
Apr 19, 2011;1,305.99;1,337.55;1,303.97;1,335.25;1,335.25;13,851,950,000
Apr 12, 2011;1,321.96;1,322.88;1,294.70;1,305.14;1,305.14;20,446,460,000
Apr 05, 2011;1,332.03;1,339.46;1,321.06;1,324.46;1,324.46;19,143,400,000
Mar 29, 2011;1,309.37;1,337.85;1,305.26;1,332.87;1,332.87;19,305,900,000
Mar 22, 2011;1,298.29;1,319.74;1,284.05;1,310.19;1,310.19;19,081,550,000
Mar 15, 2011;1,288.46;1,300.58;1,249.05;1,298.38;1,298.38;24,078,580,000
Mar 08, 2011;1,311.05;1,325.74;1,286.37;1,296.39;1,296.39;20,754,730,000
Mar 01, 2011;1,328.64;1,332.28;1,302.58;1,310.13;1,310.13;14,734,360,000
Feb 22, 2011;1,338.91;1,338.91;1,294.26;1,327.22;1,327.22;8,964,900,000
Feb 15, 2011;1,330.43;1,344.07;1,324.61;1,343.01;1,343.01;9,022,070,000
Feb 08, 2011;1,318.76;1,332.96;1,311.74;1,332.32;1,332.32;19,774,720,000
Feb 01, 2011;1,289.14;1,322.85;1,289.14;1,319.05;1,319.05;21,461,970,000
Jan 25, 2011;1,288.17;1,302.67;1,275.10;1,286.12;1,286.12;23,421,340,000
Jan 18, 2011;1,293.22;1,296.06;1,271.26;1,290.84;1,290.84;23,801,810,000
Jan 11, 2011;1,272.58;1,293.24;1,269.62;1,293.24;1,293.24;17,250,120,000
Jan 04, 2011;1,272.95;1,278.17;1,261.70;1,269.75;1,269.75;23,405,000,000
Dec 28, 2010;1,259.10;1,276.17;1,254.19;1,271.87;1,271.87;12,749,990,000
Dec 21, 2010;1,249.43;1,259.39;1,249.43;1,257.54;1,257.54;9,272,750,000
Dec 14, 2010;1,241.84;1,250.20;1,232.85;1,247.08;1,247.08;21,457,120,000
Dec 07, 2010;1,227.25;1,246.73;1,219.50;1,240.46;1,240.46;25,009,280,000
Nov 30, 2010;1,182.96;1,225.80;1,174.14;1,223.12;1,223.12;21,066,760,000
Nov 23, 2010;1,192.51;1,198.62;1,173.64;1,187.76;1,187.76;12,804,590,000
Nov 16, 2010;1,194.79;1,200.29;1,173.00;1,197.84;1,197.84;21,073,310,000
Nov 09, 2010;1,223.59;1,226.84;1,194.08;1,197.75;1,197.75;21,057,450,000
Nov 02, 2010;1,187.86;1,227.08;1,183.56;1,223.25;1,223.25;23,801,840,000
Oct 26, 2010;1,184.88;1,195.81;1,171.70;1,184.38;1,184.38;20,489,870,000
Oct 19, 2010;1,178.64;1,196.14;1,159.71;1,185.62;1,185.62;22,652,740,000
Oct 12, 2010;1,164.28;1,185.53;1,155.71;1,184.71;1,184.71;24,189,950,000
Oct 05, 2010;1,140.68;1,168.68;1,140.68;1,165.32;1,165.32;18,429,870,000
Sep 28, 2010;1,142.31;1,157.16;1,131.87;1,137.03;1,137.03;20,203,300,000
Sep 21, 2010;1,142.82;1,149.92;1,122.79;1,142.16;1,142.16;19,646,390,000
Sep 14, 2010;1,121.16;1,144.86;1,114.63;1,142.71;1,142.71;18,705,190,000
Sep 07, 2010;1,102.60;1,123.87;1,091.15;1,121.90;1,121.90;17,302,000,000
Aug 31, 2010;1,046.88;1,105.10;1,040.88;1,104.51;1,104.51;15,674,360,000
Aug 24, 2010;1,063.20;1,065.21;1,039.70;1,048.92;1,048.92;19,463,680,000
Aug 17, 2010;1,081.16;1,100.14;1,063.91;1,067.36;1,067.36;18,955,530,000
