0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
[10554],[9150],[27450],[8858],[16846],[9149],[26689],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30971],[18668],[6980],[4570],[32900],[5066],[22148],[34109],[33023],[23205],[8334],[12337],,,,,,,,,,,,,,,,,,,,,,,,,
[3170],[18845],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[20073],[18367],[32471],[30450],[32471],[31501],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[10340],[28706],[20342],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[14606],[10446],[10476],[3117],[30485],[17519],[5287],[23150],[8449],[12312],[820],,,,,,,,,,,,,,,,,,,,,,,,,,
[4715],[31697],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[21379],[27167],[34978],[34978],[4570],[31288],[27167],[10071],[13677],[15077],[235],[26163],[12444],,,,,,,,,,,,,,,,,,,,,,,,
[18367],[17285],[793],[5078],[5254],[5857],[5858],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[33929],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[15796],[6521],[24508],[15274],[20124],[5885],[24501],[19303],[3504],[28126],[12681],[11446],,,,,,,,,,,,,,,,,,,,,,,,,
[27450],[22554],[29321],[24888],[22561],[3136],[27450],[13775],[32996],[18367],,,,,,,,,,,,,,,,,,,,,,,,,,,
[12312],[27370],[7351],[31627],[12344],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5981],[4654],[19698],[19722],[27167],[33548],[5284],[30632],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6223],[1889],[22453],[27318],[13933],[31052],[13933],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[22617],[16497],[16497],[35207],[22287],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[30964],[22935],[30964],[24183],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[26119],[509],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[11683],[28529],[1561],[33175],[14904],[6615],[18856],[23316],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
